Time,Surge,Sway,Heave,Yaw,Depth,Yaw Angle,Desired Depth
1743408593,0.23738750000000006,0.11145833333333334,0.9899684194134117,0.022291666666666668,28.80900001525879,,68
1743408593,0.27501249999999994,0.11041666666666666,0.9903896469480333,0.022083333333333333,28.80900001525879,,68
1743408593,0.2681875,0.11354166666666667,0.9909007126285667,0.022708333333333334,28.834999084472656,,68
1743408593,0.24473750000000002,0.11458333333333333,0.9922522855768975,0.02291666666666667,28.834999084472656,,68
1743408593,0.22172500000000003,0.115625,0.9923979248453095,0.023125000000000003,28.867000579833984,,68
1743408593,0.1570625,0.11666666666666667,0.992099722532358,0.023333333333333334,28.867000579833984,,68
1743408594,0.2366875,0.11770833333333333,0.9941160622624924,0.02354166666666667,28.881000518798828,,68
1743408594,0.28664999999999996,0.11666666666666667,0.9938043799547405,0.023333333333333334,28.881000518798828,,68
1743408594,0.25637499999999996,0.11666666666666667,0.9937658443647004,0.023333333333333334,28.908000946044922,,68
1743408594,0.21848750000000006,0.11145833333333334,0.9949074008895487,0.022291666666666668,28.908000946044922,,68
1743408594,0.19232499999999994,0.11979166666666667,0.9999832858685535,0.023958333333333335,28.93899917602539,,68
1743408594,0.19136249999999994,0.11875,0.9962813342045824,0.02375,28.93899917602539,,68
1743408594,0.2522624999999999,0.11770833333333333,0.9959939112983984,0.02354166666666667,28.959999084472656,,68
1743408594,0.28174999999999994,0.11875,0.9953073388857813,0.02375,28.959999084472656,,68
1743408594,0.24333750000000004,0.12083333333333333,0.9953172769610912,0.02416666666666667,28.999000549316406,,68
1743408594,0.2912875,0.12083333333333333,0.9953160784932737,0.02416666666666667,28.999000549316406,,68
1743408594,0.2958375,0.11979166666666667,0.9947013766964068,0.023958333333333335,29.013999938964844,,68
1743408594,0.24071250000000002,0.12083333333333333,0.9975273970605176,0.02416666666666667,29.013999938964844,,68
1743408594,0.28455,0.12291666666666666,0.9972972367168889,0.024583333333333332,29.052000045776367,,68
1743408594,0.25025000000000003,0.125,0.9942224828983484,0.025,29.052000045776367,,68
1743408594,0.19451249999999998,0.12708333333333333,0.9931705177255238,0.025416666666666667,29.07900047302246,,68
1743408594,0.17709999999999998,0.12916666666666668,0.9910946353006049,0.025833333333333337,29.07900047302246,,68
1743408594,0.16887499999999997,0.125,0.989046649403954,0.025,29.10300064086914,,68
1743408594,0.1934625,0.125,0.9913132310672687,0.025,29.10300064086914,,68
1743408594,0.27501249999999994,0.12395833333333334,0.9915953702632162,0.02479166666666667,29.10300064086914,,68
1743408594,0.2588249999999999,0.12291666666666666,0.9904862339670883,0.024583333333333332,29.10300064086914,,68
1743408595,0.22163749999999993,0.121875,0.9921189579584306,0.024375,29.131999969482422,,68
1743408595,0.20212499999999994,0.121875,0.9900481640043476,0.024375,29.131999969482422,,68
1743408595,0.19284999999999997,0.11979166666666667,0.9897433344482087,0.023958333333333335,29.160999298095703,,68
1743408595,0.23642500000000005,0.11770833333333333,0.9892810302939422,0.02354166666666667,29.160999298095703,,68
1743408595,0.2890999999999999,0.11666666666666667,0.9882976921846406,0.023333333333333334,29.18199920654297,,68
1743408595,0.2795625,0.115625,0.9879066540040914,0.023125000000000003,29.18199920654297,,68
1743408595,0.285775,0.11770833333333333,0.9888626281347549,0.02354166666666667,29.216999053955078,,68
1743408595,0.2611,0.11666666666666667,0.9892981871874302,0.023333333333333334,29.216999053955078,,68
1743408595,0.2821,0.11770833333333333,0.9893821380896385,0.02354166666666667,29.24799919128418,,68
1743408595,0.28892500000000004,0.11770833333333333,0.9892287447375064,0.02354166666666667,29.24799919128418,,68
1743408595,0.3367875,0.11875,0.9893559083967698,0.02375,29.273000717163086,,68
1743408595,0.32943749999999994,0.11875,0.9902589915213311,0.02375,29.273000717163086,,68
1743408595,0.28341249999999996,0.11979166666666667,0.9902354075713556,0.023958333333333335,29.304000854492188,,68
1743408595,0.29784999999999995,0.12083333333333333,0.991992990876757,0.02416666666666667,29.304000854492188,,68
1743408595,0.26774999999999993,0.11979166666666667,0.9935398975223533,0.023958333333333335,29.34000015258789,,68
1743408595,0.29513749999999994,0.12083333333333333,0.9956769431906286,0.02416666666666667,29.34000015258789,,68
1743408595,0.376425,0.12083333333333333,0.9953888936265088,0.02416666666666667,29.35300064086914,,68
1743408595,0.39488749999999995,0.11979166666666667,0.9949904359311162,0.023958333333333335,29.35300064086914,,68
1743408595,0.378,0.11875,0.9946973193559289,0.02375,29.391000747680664,,68
1743408595,0.3653125,0.11875,0.9960510351354592,0.02375,29.391000747680664,,68
1743408596,0.3416875,0.12083333333333333,0.9986543822336215,0.02416666666666667,29.415000915527344,,68
1743408596,0.28341249999999996,0.12083333333333333,0.9990107086944093,0.02416666666666667,29.415000915527344,,68
1743408596,0.3614625,0.121875,0.9978996099029772,0.024375,29.440000534057617,,68
1743408596,0.397075,0.125,0.9975483141231222,0.025,29.440000534057617,,68
1743408596,0.400925,0.12395833333333334,0.9969075904499022,0.02479166666666667,29.47100067138672,,68
